StationID,Station
8500069,"Leymen, Station (F)$<1>$LEYM$<3>"
8500070,"Rodersdorf, Station$<1>$RD$<3>"
8500071,"Binningen, Dorenbach$<1>"
8500072,"Oberwil BL, Hüslimatt$<1>$HLIM$<3>"
8500073,"Basel, Aeschenplatz$<1>$BAES$<3>"
8500076,"Münchenstein, Dorf$<1>$MSTD$<3>"
8500077,"Arlesheim, Dorf$<1>$ARHD$<3>"
8500078,Dornach$<1>$DOCH$<3>
8500079,"Basel, Heuwaage$<1>$BSHW$<3>"
8500080,Talhaus$<1>$TALH$<3>
8500081,Altmarkt$<1>$AKT$<3>
8500082,Bubendorf$<1>$BUDO$<3>
8500083,Lampenberg-Ramlinsburg$<1>$LGRG$<3>
8500084,Hölstein$<1>$HOE$<3>
8500085,Niederdorf$<1>$NDF$<3>
8500086,Oberdorf BL$<1>$ODBL$<3>
8500087,Waldenburg$<1>$WAG$<3>
8500088,Oberdorf BL Winkelweg$<1>$ODBW$<3>
8500089,Wasserfallen$<1>
8500090,Basel Bad Bf$<1>$BAD$<3>
8500092,Hölstein Süd$<1>$HOES$<3>
8500093,Hölstein Weidbächli$<1>$HOEW$<3>
8500094,Hirschlang$<1>$HING$<3>
8500095,"Münchenstein, Hofmatt$<1>$HOFM$<3>"
8500096,"Basel, Dreispitz$<1>$DSPZ$<3>"
8500097,Reigoldswil LRW$<1>
8500100,Tavannes$<1>$TA$<3>
8500101,Reconvilier$<1>$REC$<3>
8500102,Malleray-Bévilard$<1>$MB$<3>
8500103,Sorvilier$<1>$SOR$<3>
8500104,Court$<1>$CT$<3>
8500105,Moutier$<1>$MOU$<3>
8500109,Delémont$<1>$Delsberg$<4>$DMT$<3>
8500113,Laufen$<1>$LFN$<3>
8500114,Zwingen$<1>$ZWG$<3>
8500115,Grellingen$<1>$GREL$<3>
8500116,Duggingen$<1>$DUG$<3>
8500117,Aesch$<1>$AE$<3>
8500118,Dornach-Arlesheim$<1>$DOR$<3>
8500119,Münchenstein$<1>$MST$<3>
8500120,Courtételle$<1>$CTT$<3>
8500121,Courfaivre$<1>$CFV$<3>
8500122,Bassecourt$<1>$BSC$<3>
8500123,Glovelier$<1>$GLO$<3>
8500124,St-Ursanne$<1>$SU$<3>
8500125,Courgenay$<1>$Jennsdorf$<4>$CG$<3>
8500126,Porrentruy$<1>$POR$<3>
8500127,Courtemaîche$<1>$CTM$<3>
8500128,Boncourt$<1>$BCT$<3>
8500130,Delle$<1>$DL$<3>
8500135,Pontenet$<1>$PON$<3>
8500136,Basel Dreispitz$<1>$BSDH$<3>
8500138,"Basel, St-Louis Grenze$<1>$St. Louis Grenze$<4>$STLO$<3>"
8500141,Courchavon$<1>$CCH$<3>
8500143,Grandgourt$<1>$GRA$<3>
8500144,Buix$<1>$BX$<3>
8500146,"Basel, Bhfeingang Gundeldingen$<1>$Basel, Bahnhofeingang Gundeldingen$<2>"
8500147,"Basel, Heiliggeistkirche$<1>"
8500159,Grenchen Nord$<1>$GN$<3>
8500160,"Basel, IWB$<1>"
8500161,"Basel, Tellplatz$<1>"
8500162,Tramelan-Dessous$<1>$TRDE$<3>
8500164,Tramelan-Chalet$<1>$TRCH$<3>
8500165,Le Pied-d'Or$<1>$PIEO$<3>
8500167,Les Breuleux-Eglise$<1>$BREL$<3>
8500169,Muriaux$<1>$MUAU$<3>
8500170,Tramelan$<1>$TRAM$<3>
8500171,Les Reussilles$<1>$REUS$<3>
8500172,La Chaux-des-Breuleux$<1>$CHXB$<3>
8500173,Les Breuleux$<1>$BREU$<3>
8500174,Le Noirmont$<1>$NOMO$<3>
8500175,Le Creux-des-Biches$<1>$CREB$<3>
8500176,Le Boéchet$<1>$BOEC$<3>
8500177,Les Bois$<1>$BOIS$<3>
8500178,La Ferrière$<1>$FER$<3>
8500179,La Cibourg$<1>$CIB$<3>
8500180,La Large-Journée$<1>$LARG$<3>
8500181,La Chaux-d'Abel$<1>$CHXA$<3>
8500182,Le Seignat$<1>$SEIG$<3>
8500184,La Chaux-de-Fonds-Est$<1>$CFES$<3>
8500186,Alle$<1>$ALLE$<3>
8500187,Vendlincourt$<1>$VEND$<3>
8500188,Bonfol$<1>$BONF$<3>
8500189,"Basel, Solothurnerstrasse$<1>"
8500190,Les Emibois$<1>$EMI$<3>
8500191,Saignelégier$<1>$SAIG$<3>
8500192,Le Bémont$<1>$BEM$<3>
8500193,"Basel, Markthalle$<1>"
8500194,Pré-Petitjean$<1>$PREP$<3>
8500195,La Combe$<1>$COMB$<3>
8500196,Bollement$<1>$BOLL$<3>
8500199,Combe-Tabeillon$<1>$COTA$<3>
8500200,Pieterlen$<1>$PIE$<3>
8500201,Lengnau$<1>$LEN$<3>
8500202,Grenchen Süd$<1>$GS$<3>
8500203,Bettlach$<1>$BET$<3>
8500204,Selzach$<1>$SEL$<3>
8500205,Bellach$<1>$BELL$<3>
8500206,Solothurn West$<1>$SW$<3>
8500207,Solothurn$<1>$SO$<4>$Soletta$<4>$Soleure$<4>$SO$<3>
8500208,Luterbach-Attisholz$<1>$LUT$<3>
8500209,Deitingen$<1>$DN$<3>
8500210,Wangen an der Aare$<1>$WAA$<3>
8500211,Niederbipp$<1>$NB$<3>
8500212,Oensingen$<1>$OEN$<3>
8500213,Oberbuchsiten$<1>$OB$<3>
8500214,Egerkingen$<1>$EG$<3>
8500215,Hägendorf$<1>$HAE$<3>
8500216,Wangen bei Olten$<1>$WBOL$<3>
8500217,Olten Hammer$<1>$OLH$<3>
8500218,Olten$<1>$OL$<3>
8500220,Dotzigen$<1>$DON$<3>
8500221,Büren an der Aare$<1>$BUER$<3>
8500230,"Lüsslingen, Käserei$<1>"
8500231,"Nennigkofen, Rössli$<1>"
8500233,"Reinach BL, Süd$<1>"
8500234,"Reinach BL, Surbaum$<1>"
8500235,"Münchenstein, Freilager$<1>"
8500236,"Basel, Denkmal$<1>"
8500237,"Basel, Bankverein$<1>$BSBA$<3>"
8500252,Weissenstein$<1>$WESS$<3>
8500254,"Basel, Wiesenplatz$<1>"
8500255,"Aesch BL, Dorf$<1>$AESH$<3>"
8500256,"Muttenz, Dorf$<1>"
8500260,Crémines-Zoo$<1>$ZOO$<3>
8500261,Langendorf$<1>$LADO$<3>
8500262,Lommiswil$<1>$LOM$<3>
8500263,Im Holz$<1>$IMHO$<3>
8500264,Oberdorf SO$<1>$ODF$<3>
8500265,Gänsbrunnen$<1>$GAE$<3>
8500266,Corcelles BE$<1>$CORC$<3>
8500267,Crémines$<1>$CREM$<3>
8500268,Grandval$<1>$GVAL$<3>
8500272,Solothurn Sternen$<1>$SOST$<3>
8500273,St. Katharinen$<1>$STKA$<3>
8500274,Feldbrunnen$<1>$FEBR$<3>
8500275,Bei den Weihern$<1>$BDWE$<3>
8500280,Solothurn Baseltor$<1>$SOBT$<3>
8500283,Riedholz$<1>$RIHO$<3>
8500285,Flumenthal$<1>$FLUM$<3>
8500286,Attiswil$<1>$ATTI$<3>
8500287,Wiedlisbach$<1>$WIED$<3>
8500288,Oberbipp$<1>$OBBI$<3>
8500289,Buchli$<1>$BULI$<3>
8500292,Klus$<1>$KLUS$<3>
8500293,Thalbrücke$<1>$THBU$<3>
8500294,Balsthal$<1>$BTH$<3>
8500300,Kaiseraugst$<1>$KAU$<3>
8500301,Rheinfelden$<1>$RF$<3>
8500302,Möhlin$<1>$MOE$<3>
8500303,Mumpf$<1>$MPF$<3>
8500304,Eiken$<1>$EI$<3>
8500305,Frick$<1>$FCK$<3>
8500309,Brugg AG$<1>$BG$<3>
8500313,Rheinfelden Augarten$<1>$RFAU$<3>
8500320,Stein-Säckingen$<1>$STS$<3>
