StationID,Station
8578466,"Altstätten SG, Klosterguet"
8594592,"Altstätten SG, Oberkirlen"
8574147,"Altstätten SG, Rathaus"
8578475,"Altstätten SG, Ruppen"
8588218,"Altstätten SG, Ruppendörfli"
8578474,"Altstätten SG, Ruppenhalde"
8574145,"Altstätten SG, Spital/Heime"
8578464,"Altstätten SG, Stadt"
8578470,"Altstätten SG, Sägentobel"
8578471,"Altstätten SG, Tannenbaum"
8578467,"Altstätten SG, Traube"
8578481,"Altstätten SG, Unterlitten"
8578468,"Altstätten SG, Wieswanne"
8578469,"Altstätten SG, Ziel-Kornberg"
8506379,"Altstätten Stadt"
8577350,"Altwis, Dorf"
8509194,Alvaneu
8583425,"Alvaneu Bad, Badezentrum"
8574866,"Alvaneu Bad, Dorfplatz"
8579854,"Alvaneu Bad, Solas"
8574844,"Alvaneu Dorf, Crappa Naira"
8509751,"Alvaneu Dorf, Dorfplatz"
8574867,"Alvaneu, Bahnhof"
8574863,"Alvaschein, Dorf"
8574862,"Alvaschein, Gipsmühle"
8582133,"Alvaschein, Solisbrücke"
8574731,"Am Bach (Avers)"
8595365,"Ambilly, Acacias-TAC"
8595364,"Ambilly, Croix d'Ambilly"
8595366,"Ambilly, Millet"
8595363,"Ambilly, Parc la Fantasia"
8575702,"Ambrì, Chiesa"
8581303,"Ambrì, centro scolastico"
8575703,"Ambrì, sotto"
8505202,Ambrì-Piotta
8575701,"Ambrì-Piotta, Stazione"
8530491,"Amden SBA"
8578495,"Amden, Bellevue"
8578497,"Amden, Brugg"
8509462,"Amden, Forten"
8509463,"Amden, Hinterstein"
8509464,"Amden, Lehni"
8578500,"Amden, Mennweg"
8578496,"Amden, Montana"
8509990,"Amden, Post"
8578501,"Amden, Sell"
8509465,"Amden, Soldanella"
8578499,"Amden, Stocksitten"
8578498,"Amden, Vorderdorf"
8579494,Aminona
8530174,"Aminona CMA"
8506551,"Amlikon, Mitte"
8580601,"Amlikon, Oberdorf"
8573371,"Amlikon, Unterdorf"
8578757,"Ammerswil AG, Dorfplatz"
8590162,"Ammerswil AG, Kirche"
8578755,"Ammerswil AG, Rebrain"
8508871,"Ammerzwil BE, Dorf"
8581024,"Ammerzwil BE, Sandhubel"
8571464,"Ammerzwil BE, Unterdorf"
8506109,Amriswil
8587135,"Amriswil, Almensberg"
8587138,"Amriswil, Bahnhof"
8587139,"Amriswil, Grenzstrasse"
8587140,"Amriswil, Güetli"
8587141,"Amriswil, Hemmerswil"
8582163,"Amriswil, Kirchstrasse"
8587144,"Amriswil, Kronberg"
8587143,"Amriswil, Köpplishaus"
8595456,"Amriswil, Maihalde"
8587145,"Amriswil, Marktplatz"
8587146,"Amriswil, Mühlebach"
8583792,"Amriswil, Schrofen"
8587148,"Amriswil, St. Gallerstrasse"
8587147,"Amriswil, Säntisstrasse"
8587149,"Amriswil, Weiherstrasse"
8587150,"Amriswil, Zentrum"
8576831,"Amsoldingen, Kirche"
8576832,"Amsoldingen, Kreuz"
8576830,"Amsoldingen, Sandgrube"
8576829,"Amsoldingen, See"
8576833,"Amsoldingen, Steghalten"
8530692,"Amsteg LAA"
8505667,"Amsteg, Post"
8588654,"Amsteg, Schulhaus"
8573086,"Amsteg, St. Anton"
8577391,"Amsteg, Zeughaus"
8509663,"Andeer, Bärenburg"
8580886,"Andeer, Heilbad"
8583443,"Andeer, Pignia"
8509664,"Andeer, Rofflaschlucht"
8581095,"Andeer, Tgavugl"
8509752,"Andeer, posta"
8506047,Andelfingen
8573196,"Andelfingen, Bahnhof"
8505165,Andermatt
8505192,"Andermatt (Gemsstockbahn)"
8573140,"Andermatt, Bahnhof"
8594471,"Andermatt, Bodenstrasse"
8594472,"Andermatt, Gemeindehaus"
8594469,"Andermatt, Gemsstockbahn"
8594477,"Andermatt, Kreisel Oberalp Süd"
8594473,"Andermatt, Krone"
8594476,"Andermatt, Oberwiler"
8594475,"Andermatt, Poststrasse"
8594474,"Andermatt, Tourist Info"
8595235,"Andermatt, Unterwiler 1"
8595236,"Andermatt, Unterwiler 2"
8579976,"Andiast, S. Clau"
8509753,"Andiast, posta"
8573956,"Andwil SG, Grünau"
8581737,"Andwil SG, Linden"
8573955,"Andwil SG, Otmarsegg"
8506789,"Andwil SG, Post"
8506254,"Andwil SG, St. Margreten"
8582176,"Andwil TG, Eckartshausen"
8582177,"Andwil TG, Volg"
8504483,Anet
8516177,Anet
8574800,"Angeli Custodi"
8580347,"Anglikon, Brändliacker"
8580350,"Anglikon, Bursthalde"
8580348,"Anglikon, Kesselackerstrasse"
8580349,"Anglikon, Knobelstrasse"
8572618,"Anglikon, Zentrum"
8501231,Anières
8595008,"Anières, Bassy"
8592621,"Anières, Chavannes"
8592623,"Anières, Courbes"
8595009,"Anières, Courson"
8592761,"Anières, Foyer"
8592625,"Anières, Gravière"
8592626,"Anières, Marguerite"
8592764,"Anières, Nant-d'Aisy"
8592622,"Anières, Sous-Chevrens"
8592624,"Anières, douane"
8595010,"Anières, mairie"
8587029,"Anières, village"
8774549,Annemasse
8595360,"Annemasse, Deffaugt"
8595358,"Annemasse, Parc Montessuit"
8595359,"Annemasse, gare"
8595361,"Annemasse, poste"
8504687,"Antagnes, Glutières"
8572297,"Anwil, Ausserdorf"
8500965,"Anwil, Dorf"
8572296,"Anwil, Talweiher"
8575736,"Anzonico, Bv. Calonico"
8575739,"Anzonico, Paese"
8530151,"Anzère TAPM"
8570804,"Anzère, Pra Combère"
8570796,"Anzère, Pralan"
8570797,"Anzère, poste"
8575519,"Anzère, télécabine"
8501965,"Anzère, village sud"
8300137,Aosta
8501875,"Aosta, Autostazione"
8506286,Appenzell
8579833,"Appenzell Enggenhütten"
8579828,"Appenzell Schlatt"
8579831,"Appenzell Steinegg, Steinegg"
8581181,"Appenzell, Adlerplatz"
8578419,"Appenzell, Alpsteinstrasse"
8578423,"Appenzell, Bahnhof"
8578426,"Appenzell, Bleichenwald"
8578417,"Appenzell, Bleuer"
8581182,"Appenzell, Hallenbad"
